number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_class,params_objective,params_subsample,params_tree_method,state
54,0.96243875,0.12229875049629846,0.6174074848696467,mlogloss,4.21398212764184,0.05738925345955441,11,97,6,multi:softprob,0.7975929373500757,gpu_hist,COMPLETE
55,0.96262,0.038787393159737185,0.6310237237564766,mlogloss,3.2262952307779513,0.02256241367569058,11,28,6,multi:softprob,0.8143854474405614,gpu_hist,COMPLETE
56,0.96238625,0.035914098917623885,0.5638499731860448,mlogloss,3.2338793769434577,0.016728974297436763,11,25,6,multi:softprob,0.8184222712031184,gpu_hist,COMPLETE
57,0.9622775,0.008878726723762637,0.6715078209036507,mlogloss,8.431193573303894,0.02321308580717527,11,134,6,multi:softprob,0.7872609568742999,gpu_hist,COMPLETE
58,0.929765,0.26829289854629984,0.7291352536352989,mlogloss,5.742150916898247,0.007153525682753953,3,251,6,multi:softprob,0.8566986426792844,gpu_hist,COMPLETE
59,0.9624975,0.022213305352920834,0.5031875738711,mlogloss,2.477724843390986,0.0215706342340937,11,3,6,multi:softprob,0.9053601857195542,gpu_hist,COMPLETE
60,0.96229875,0.04551596499225371,0.6163107071696754,mlogloss,7.102350759570423,0.042703062854282485,11,233,6,multi:softprob,0.8126590133218439,gpu_hist,COMPLETE
61,0.96260375,0.09000914607253645,0.6467256245401268,mlogloss,3.1862435400547224,0.030369392745948427,11,58,6,multi:softprob,0.8606284828834475,gpu_hist,COMPLETE
62,0.962675,0.1829207115669069,0.6578949173697495,mlogloss,3.0792380912370896,0.02865590967975763,11,30,6,multi:softprob,0.8339189617858492,gpu_hist,COMPLETE
63,0.96263875,0.3462982527146346,0.5791809425893578,mlogloss,1.3429634545461178,0.026181288353488326,11,30,6,multi:softprob,0.779544897006345,gpu_hist,COMPLETE
64,0.96001875,0.1452897103428437,0.6691718542530534,mlogloss,3.7761349693738717,0.0130103592584558,7,16,6,multi:softprob,0.8299028269458992,gpu_hist,COMPLETE
65,0.96215,0.41020244753434254,0.5788592601004023,mlogloss,1.326573958477606,0.01812364608692283,9,28,6,multi:softprob,0.9068652627685694,gpu_hist,COMPLETE
66,0.96245,0.6748610551041638,0.6173167848224773,mlogloss,2.39478064146832,0.02664071277109849,20,38,6,multi:softprob,0.7466796983880896,gpu_hist,COMPLETE
67,0.9622925,0.3100027821694695,0.5558148582126454,mlogloss,9.867428004181788,0.014846353911176412,11,11,6,multi:softprob,0.8311634246547696,gpu_hist,COMPLETE
68,0.96259625,0.18114838650144502,0.6931957757462339,mlogloss,6.357453778982372,0.022091684856964167,17,83,6,multi:softprob,0.8705387401466951,gpu_hist,COMPLETE
69,0.96075,0.025664656017771747,0.7303653850731435,mlogloss,1.5475562438207098,0.05047900847409933,5,288,6,multi:softprob,0.8081641315578165,gpu_hist,COMPLETE
70,0.95827625,0.11958987613178136,0.6577975695881917,mlogloss,2.127260013253699,0.004236400706085625,11,29,6,multi:softprob,0.9527403500130691,gpu_hist,COMPLETE
71,0.96256,0.01219067790304594,0.5968215773307671,mlogloss,0.7556397357083602,0.03802268779242425,11,51,6,multi:softprob,0.7830717652090331,gpu_hist,COMPLETE
72,0.962615,0.19395555154457111,0.6362949130085639,mlogloss,1.241168106869711,0.03323530422493948,11,42,6,multi:softprob,0.7551263724498474,gpu_hist,COMPLETE
73,0.96267,0.17849512151466176,0.6287443030953633,mlogloss,1.1503023394664396,0.026936095938201853,11,21,6,multi:softprob,0.7601945112700135,gpu_hist,COMPLETE
74,0.96267625,0.3312343505387455,0.5768304988440244,mlogloss,4.120039119974997,0.02524988868519033,11,22,6,multi:softprob,0.7187360942476242,gpu_hist,COMPLETE
75,0.9625975,0.3551657128660482,0.6079483726518573,mlogloss,4.181517176024974,0.02541515305226775,11,20,6,multi:softprob,0.7173387391626774,gpu_hist,COMPLETE
76,0.945155,0.43905381155711753,0.5799098384649267,mlogloss,0.5792329591600124,0.01938214880979477,3,1,6,multi:softprob,0.767793847874709,gpu_hist,COMPLETE
77,0.96202,0.7317840350741285,0.6612614799112295,mlogloss,2.4578428723457884,0.02781410908990565,7,11,6,multi:softprob,0.8431942784104304,gpu_hist,COMPLETE
78,0.96227625,2.6275442585067683,0.5387226307210945,mlogloss,0.9942556464516717,0.01733836283639333,20,71,6,multi:softprob,0.7186666558729269,gpu_hist,COMPLETE
79,0.96246625,0.2918101995488344,0.7036737933258783,mlogloss,0.8256477144341239,0.04454565326972507,11,45,6,multi:softprob,0.6855743149567336,gpu_hist,COMPLETE
80,0.9413875,0.07126119728328938,0.5789859393009332,mlogloss,1.6001458218175,0.0012614414417717757,11,200,6,multi:softprob,0.8954858021865182,gpu_hist,COMPLETE
81,0.96256,0.11276324818440651,0.6398709262621897,mlogloss,3.1282922076264166,0.022523464791303294,11,31,6,multi:softprob,0.8019384911769726,gpu_hist,COMPLETE
82,0.962675,0.04236699061115943,0.6276887257470555,mlogloss,0.004043479647326972,0.02811476738037908,11,22,6,multi:softprob,0.8269174900726594,gpu_hist,COMPLETE
